tostada,333,"Fried Corn Tortilla, Refried Beans, Shredded Cheese, Salsa",Mexican,10
quesadillas,528,"cheese, tortilla",Mexican,12.5
Curry rice,400,"curry, rice",Indian,8
enchiladas,323,"Meat, Cheese, Potatoes, Vegetables, Beans, Tofu",Mexican,12
tacos,200,"carne asada, lettuce, cheese",Mexican,10
burritos,670,"tortilla,meat, rice, beans",Mexican,10
chimichanga,420,"Rice, Beans, Meat, Cheese",Mexican,14
carne asada fries,887,Flank Steak,Mexican,12
wet burrito,417,"Meat, Cheese, Beans, Rice, ",Mexican,14
sopes,460,"Masa Harina, Water, Salt, Oil",Mexican,8
hamburgers ,354,"Beef, Cheese, Lettuce, Buns ",American,11
shrimp fajita,530,"Shrimp, Onions, Bell Pepper",Mexican,10
churros,116,"Flour, Water, Salt",Mexican,9
tamales,284,"Meat, Corn, Potatoes, Peppers, Cheese, Carrots",Mexican,8
nachos,600,"Tortilla Chips, Sheese, Jalapeño, Meat, Sour Cream, Salsa, Guacamole",Mexican,8
hot dog,151,"Sausage, Bun, ",American,5
Orange Chicken,368,"Chicken, Soy Sauce, Garlic, Ginger, Sugar",Chinese,12
Chow Mein,1200,"Noodles, Meat, Onions, Celery",Chinese,11